iter	Passed	Remaining
1255	484689	673007
1256	484973	672481
1257	485288	671996
1258	485630	671551
1259	485947	671070
1260	486278	670608
1261	486556	670074
1262	486878	669602
1263	487178	669100
1264	487474	668591
1265	487791	668112
1266	488090	667609
1267	488360	667066
1268	488686	666601
1269	488999	666117
1270	489329	665658
1271	489621	665146
1272	489938	664669
1273	490237	664167
1274	490499	663616
1275	490804	663124
1276	491075	662586
1277	491385	662101
1278	491660	661570
1279	491952	661061
1280	492240	660548
1281	492560	660076
1282	492902	659636
1283	493213	659154
1284	493516	658662
1285	493832	658187
1286	494140	657702
1287	494436	657201
1288	494706	656666
1289	495024	656195
1290	495344	655726
1291	495643	655231
1292	495968	654770
1293	496229	654224
1294	496519	653719
1295	496834	653245
1296	497161	652788
1297	497464	652299
1298	497743	651779
1299	498198	651490
1300	498467	650958
1301	498798	650506
1302	499122	650046
1303	499483	649635
1304	499989	649412
1305	500388	649048
1306	500670	648535
1307	500928	647990
1308	501235	647509
1309	501577	647072
1310	501864	646566
1311	502144	646051
1312	502475	645602
1313	502739	645067
1314	503005	644535
1315	503305	644046
1316	503621	643580
1317	503915	643085
1318	504224	642608
1319	504589	642204
1320	504871	641695
1321	505172	641209
1322	505438	640681
1323	505762	640224
1324	506056	639731
1325	506323	639205
1326	506619	638714
1327	506945	638262
1328	507248	637781
1329	507537	637284
1330	507820	636778
1331	508070	636232
1332	508390	635773
1333	508731	635342
1334	509050	634883
1335	509360	634412
1336	509691	633968
1337	510003	633502
1338	510301	633017
1339	510635	632578
1340	510954	632120
1341	511258	631643
1342	511535	631135
1343	511866	630692
1344	512136	630175
1345	512405	629657
1346	512721	629197
1347	513115	628833
1348	513427	628367
1349	513929	628136
1350	514221	627646
1351	514498	627140
1352	514834	626705
1353	515141	626235
1354	515424	625736
1355	515671	625194
1356	515983	624731
1357	516431	624433
1358	516747	623975
1359	517015	623459
1360	517340	623013
1361	517621	622513
1362	517902	622014
1363	518187	621520
1364	518528	621094
1365	518795	620579
1366	519101	620111
1367	519383	619614
1368	519672	619127
1369	519976	618658
1370	520285	618194
1371	520609	617749
1372	520889	617252
1373	521180	616767
1374	521530	616354
1375	521804	615851
1376	522112	615386
1377	522409	614911
1378	522720	614452
1379	523011	613969
1380	523298	613483
1381	523616	613032
1382	523906	612550
1383	524208	612081
1384	524510	611613
1385	524864	611205
1386	525200	610777
1387	525526	610337
1388	525859	609906
1389	526197	609480
1390	526535	609055
1391	526825	608573
1392	527090	608064
1393	527389	607595
1394	527717	607158
1395	528071	606752
1396	528382	606297
1397	528707	605858
1398	529026	605411
1399	529308	604923
1400	529616	604466
1401	530044	604144
1402	530488	603841
1403	530802	603390
1404	531154	602983
1405	531458	602521
1406	531752	602048
1407	532062	601593
1408	532495	601277
1409	532763	600775
1410	533051	600296
1411	533406	599892
1412	533731	599455
1413	534059	599023
1414	534355	598554
1415	534680	598117
1416	534944	597612
1417	535238	597141
1418	535564	596707
1419	535826	596200
1420	536079	595685
1421	536343	595182
1422	536658	594737
1423	536915	594226
1424	537242	593794
1425	537572	593365
1426	537889	592922
1427	538191	592462
1428	538489	591999
1429	538837	591590
1430	539146	591139
1431	539443	590675
1432	539767	590240
1433	540058	589770
1434	540357	589309
1435	540661	588854
1436	540904	588332
1437	541177	587843
1438	541438	587342
1439	541778	586926
1440	542097	586488
1441	542383	586015
1442	542658	585529
1443	543003	585120
1444	543324	584684
1445	543659	584264
1446	543960	583808
1447	544258	583348
1448	544534	582866
1449	544801	582373
1450	545126	581944
1451	545364	581421
1452	545654	580954
1453	545997	580544
1454	546306	580098
1455	546619	579657
1456	546910	579191
1457	547261	578790
1458	547536	578309
1459	547791	577807
1460	548081	577343
1461	548392	576899
1462	548673	576425
1463	548934	575931
1464	549294	575541
1465	549572	575064
1466	549903	574643
1467	550216	574203
1468	550516	573751
1469	550825	573308
1470	551106	572835
1471	551418	572396
1472	551696	571922
1473	552018	571492
1474	552438	571165
1475	552746	570721
1476	553078	570303
1477	553369	569842
1478	553710	569434
1479	553989	568961
1480	554307	568530
1481	554638	568111
1482	554941	567664
1483	555211	567183
1484	555471	566693
1485	555820	566294
1486	556121	565845
1487	556396	565370
1488	556703	564928
1489	557014	564491
1490	557352	564081
1491	557610	563590
1492	557918	563149
1493	558235	562719
1494	558559	562295
1495	558910	561899
1496	559207	561448
1497	559503	560997
1498	559826	560573
1499	560098	560098
1500	560402	559655
1501	560706	559213
1502	561042	558802
1503	561298	558312
1504	561586	557855
1505	561905	557428
1506	562215	556992
1507	562526	556558
1508	562826	556113
1509	563142	555683
1510	563453	555249
1511	563717	554769
1512	564044	554351
1513	564303	553867
1514	564603	553423
1515	564869	552946
1516	565189	552521
